sector;pregunta;respuesta
Alhue;Cámara de fumigación cumple a cabalidad su función;Si
Alhue;Disponibilidad de canastillo para desinfección de herramientas;Si
Alhue;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Alhue;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Alhue;Ducha en buen estado y operativa con agua caliente;Si
Alhue;Ausencia de insumos y/o materiales a la interperie;Si
Alhue;Ausencia de animales silvestres dentro de las instalaciones ;NO
Alhue;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
Alhue;Puerta de caseta danesa cerrada;Si
Alhue;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Alhue;Pediluvio disponible y operativo;Si
Alhue;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Alhue;Verificación de uso adecuado de banca danesa;Bueno
Alhue;Portón incubadora cerrado;nan
Alhue;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Alhue;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Alhue;Pediluvio disponible y operativo;nan
Alhue;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
Alhue;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Alhue;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Valdebenito;Arco de desinfección cumple a cabalidad con su función;Si
Valdebenito;Cámara de fumigación cumple a cabalidad su función;Si
Valdebenito;Disponibilidad de canastillo para desinfección de herramientas;Si
Valdebenito;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Valdebenito;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);nan
Valdebenito;Ducha en buen estado y operativa con agua caliente;Si
Valdebenito;Ausencia de insumos y/o materiales a la interperie;Si
Valdebenito;Ausencia de animales silvestres dentro de las instalaciones ;NO
Valdebenito;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
Valdebenito;Puerta de caseta danesa cerrada;Si
Valdebenito;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Valdebenito;Pediluvio disponible y operativo;Si
Valdebenito;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Valdebenito;Verificación de uso adecuado de banca danesa;Bueno
Valdebenito;Portón incubadora cerrado;nan
Valdebenito;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Valdebenito;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Valdebenito;Pediluvio disponible y operativo;nan
Valdebenito;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
Valdebenito;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Valdebenito;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 4;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 4;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 4;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 4;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 4;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 4;Ducha en buen estado y operativa con agua caliente;Si
Castillo 4;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 4;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 4;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 4;Puerta de caseta danesa cerrada;Si
Castillo 4;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 4;Pediluvio disponible y operativo;Si
Castillo 4;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 4;Verificación de uso adecuado de banca danesa;Bueno
Castillo 4;Portón incubadora cerrado;nan
Castillo 4;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 4;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 4;Pediluvio disponible y operativo;nan
Castillo 4;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 4;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 4;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 6;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 6;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 6;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 6;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);si
Castillo 6;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 6;Ducha en buen estado y operativa con agua caliente;Si
Castillo 6;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 6;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 6;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 6;Puerta de caseta danesa cerrada;Si
Castillo 6;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 6;Pediluvio disponible y operativo;Si
Castillo 6;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 6;Verificación de uso adecuado de banca danesa;Bueno
Castillo 6;Portón incubadora cerrado;nan
Castillo 6;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 6;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 6;Pediluvio disponible y operativo;nan
Castillo 6;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 6;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 6;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 9;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 9;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 9;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 9;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 9;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 9;Ducha en buen estado y operativa con agua caliente;Si
Castillo 9;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 9;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 9;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 9;Puerta de caseta danesa cerrada;Si
Castillo 9;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 9;Pediluvio disponible y operativo;Si
Castillo 9;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 9;Verificación de uso adecuado de banca danesa;Bueno
Castillo 9;Portón incubadora cerrado;nan
Castillo 9;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 9;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 9;Pediluvio disponible y operativo;nan
Castillo 9;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 9;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 9;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 3;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 3;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 3;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 3;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 3;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 3;Ducha en buen estado y operativa con agua caliente;Si
Castillo 3;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 3;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 3;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 3;Puerta de caseta danesa cerrada;Si
Castillo 3;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 3;Pediluvio disponible y operativo;Si
Castillo 3;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 3;Verificación de uso adecuado de banca danesa;Bueno
Castillo 3;Portón incubadora cerrado;nan
Castillo 3;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 3;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 3;Pediluvio disponible y operativo;nan
Castillo 3;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 3;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 3;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
HUILMAY 1;Arco de desinfección cumple a cabalidad con su función;Si
HUILMAY 1;Cámara de fumigación cumple a cabalidad su función;Si
HUILMAY 1;Disponibilidad de canastillo para desinfección de herramientas;Si
HUILMAY 1;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
HUILMAY 1;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
HUILMAY 1;Ducha en buen estado y operativa con agua caliente;Si
HUILMAY 1;Ausencia de insumos y/o materiales a la interperie;Si
HUILMAY 1;Ausencia de animales silvestres dentro de las instalaciones ;NO
HUILMAY 1;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
HUILMAY 1;Puerta de caseta danesa cerrada;Si
HUILMAY 1;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
HUILMAY 1;Pediluvio disponible y operativo;Si
HUILMAY 1;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
HUILMAY 1;Verificación de uso adecuado de banca danesa;Si
HUILMAY 1;Portón incubadora cerrado;nan
HUILMAY 1;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
HUILMAY 1;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
HUILMAY 1;Pediluvio disponible y operativo;nan
HUILMAY 1;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Regular
HUILMAY 1;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
HUILMAY 1;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
HUILMAY 2;Arco de desinfección cumple a cabalidad con su función;Si
HUILMAY 2;Cámara de fumigación cumple a cabalidad su función;Si
HUILMAY 2;Disponibilidad de canastillo para desinfección de herramientas;Si
HUILMAY 2;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);NO
HUILMAY 2;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
HUILMAY 2;Ducha en buen estado y operativa con agua caliente;Si
HUILMAY 2;Ausencia de insumos y/o materiales a la interperie;Si
HUILMAY 2;Ausencia de animales silvestres dentro de las instalaciones ;NO
HUILMAY 2;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
HUILMAY 2;Puerta de caseta danesa cerrada;Si
HUILMAY 2;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
HUILMAY 2;Pediluvio disponible y operativo;Si
HUILMAY 2;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
HUILMAY 2;Verificación de uso adecuado de banca danesa;Si
HUILMAY 2;Portón incubadora cerrado;nan
HUILMAY 2;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
HUILMAY 2;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
HUILMAY 2;Pediluvio disponible y operativo;nan
HUILMAY 2;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
HUILMAY 2;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
HUILMAY 2;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 1;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 1;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 1;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 1;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 1;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 1;Ducha en buen estado y operativa con agua caliente;Si
Castillo 1;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 1;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 1;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 1;Puerta de caseta danesa cerrada;Si
Castillo 1;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Castillo 1;Pediluvio disponible y operativo;Si
Castillo 1;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 1;Verificación de uso adecuado de banca danesa;Bueno
Castillo 1;Portón incubadora cerrado;nan
Castillo 1;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 1;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 1;Pediluvio disponible y operativo;nan
Castillo 1;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 1;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 1;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 2;Arco de desinfección cumple a cabalidad con su función;Regular
Castillo 2;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 2;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 2;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 2;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 2;Ducha en buen estado y operativa con agua caliente;Si
Castillo 2;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 2;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 2;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 2;Puerta de caseta danesa cerrada;Si
Castillo 2;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 2;Pediluvio disponible y operativo;Si
Castillo 2;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 2;Verificación de uso adecuado de banca danesa;Bueno
Castillo 2;Portón incubadora cerrado;nan
Castillo 2;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 2;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 2;Pediluvio disponible y operativo;nan
Castillo 2;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 2;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 2;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 5;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 5;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 5;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 5;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 5;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 5;Ducha en buen estado y operativa con agua caliente;Si
Castillo 5;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 5;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 5;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 5;Puerta de caseta danesa cerrada;Si
Castillo 5;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 5;Pediluvio disponible y operativo;Si
Castillo 5;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 5;Verificación de uso adecuado de banca danesa;Bueno
Castillo 5;Portón incubadora cerrado;nan
Castillo 5;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 5;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 5;Pediluvio disponible y operativo;nan
Castillo 5;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 5;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 5;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 7;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 7;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 7;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 7;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 7;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 7;Ducha en buen estado y operativa con agua caliente;Si
Castillo 7;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 7;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 7;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 7;Puerta de caseta danesa cerrada;Si
Castillo 7;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 7;Pediluvio disponible y operativo;Si
Castillo 7;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 7;Verificación de uso adecuado de banca danesa;Si
Castillo 7;Portón incubadora cerrado;nan
Castillo 7;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 7;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 7;Pediluvio disponible y operativo;nan
Castillo 7;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 7;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 7;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 8;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 8;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 8;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 8;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 8;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 8;Ducha en buen estado y operativa con agua caliente;Si
Castillo 8;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 8;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 8;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 8;Puerta de caseta danesa cerrada;Si
Castillo 8;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 8;Pediluvio disponible y operativo;Si
Castillo 8;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 8;Verificación de uso adecuado de banca danesa;Bueno
Castillo 8;Portón incubadora cerrado;nan
Castillo 8;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 8;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 8;Pediluvio disponible y operativo;nan
Castillo 8;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 8;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 8;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Castillo 10;Arco de desinfección cumple a cabalidad con su función;Si
Castillo 10;Cámara de fumigación cumple a cabalidad su función;Si
Castillo 10;Disponibilidad de canastillo para desinfección de herramientas;Si
Castillo 10;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 10;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Castillo 10;Ducha en buen estado y operativa con agua caliente;Si
Castillo 10;Ausencia de insumos y/o materiales a la interperie;Si
Castillo 10;Ausencia de animales silvestres dentro de las instalaciones ;Si
Castillo 10;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Castillo 10;Puerta de caseta danesa cerrada;Si
Castillo 10;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Castillo 10;Pediluvio disponible y operativo;Si
Castillo 10;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Castillo 10;Verificación de uso adecuado de banca danesa;Bueno
Castillo 10;Portón incubadora cerrado;nan
Castillo 10;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Castillo 10;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Castillo 10;Pediluvio disponible y operativo;nan
Castillo 10;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Castillo 10;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Castillo 10;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
EL VALLE;Arco de desinfección cumple a cabalidad con su función;Si
EL VALLE;Cámara de fumigación cumple a cabalidad su función;Si
EL VALLE;Disponibilidad de canastillo para desinfección de herramientas;Si
